




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (3272)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (expected)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (over/under)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (fold Enrichment)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (raw P-value)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (FDR)
cerebral cortex GABAergic interneuron migration (GO:0021853)	6	6	.95	+	6.29	2.91E-03	4.36E-02
neurotransmitter loading into synaptic vesicle (GO:0098700)	8	7	1.27	+	5.51	2.12E-03	3.42E-02
interneuron migration (GO:1904936)	8	7	1.27	+	5.51	2.12E-03	3.42E-02
D-amino acid transport (GO:0042940)	8	7	1.27	+	5.51	2.12E-03	3.42E-02
amine transport (GO:0015837)	8	7	1.27	+	5.51	2.12E-03	3.41E-02
AV node cell to bundle of His cell communication (GO:0086067)	10	8	1.59	+	5.04	1.50E-03	2.60E-02
regulation of inner ear receptor cell differentiation (GO:2000980)	9	7	1.43	+	4.90	3.32E-03	4.84E-02
regulation of mechanoreceptor differentiation (GO:0045631)	9	7	1.43	+	4.90	3.32E-03	4.84E-02
regulation of inner ear auditory receptor cell differentiation (GO:0045607)	9	7	1.43	+	4.90	3.32E-03	4.83E-02
cranial nerve formation (GO:0021603)	9	7	1.43	+	4.90	3.32E-03	4.83E-02
regulation of systemic arterial blood pressure by norepinephrine-epinephrine (GO:0001993)	9	7	1.43	+	4.90	3.32E-03	4.82E-02
SA node cell to atrial cardiac muscle cell communication (GO:0086070)	9	7	1.43	+	4.90	3.32E-03	4.82E-02
artery smooth muscle contraction (GO:0014824)	9	7	1.43	+	4.90	3.32E-03	4.81E-02
detoxification of copper ion (GO:0010273)	16	12	2.54	+	4.72	1.55E-04	3.69E-03
spinal cord association neuron differentiation (GO:0021527)	12	9	1.91	+	4.72	1.04E-03	1.92E-02
stress response to copper ion (GO:1990169)	16	12	2.54	+	4.72	1.55E-04	3.69E-03
dorsal spinal cord development (GO:0021516)	20	15	3.18	+	4.72	2.36E-05	6.90E-04
cerebral cortex GABAergic interneuron differentiation (GO:0021892)	11	8	1.75	+	4.58	2.28E-03	3.59E-02
cell fate commitment involved in pattern specification (GO:0060581)	11	8	1.75	+	4.58	2.28E-03	3.58E-02
ventral spinal cord interneuron fate commitment (GO:0060579)	11	8	1.75	+	4.58	2.28E-03	3.58E-02
regulation of epithelial cell differentiation involved in kidney development (GO:2000696)	18	13	2.86	+	4.55	1.08E-04	2.68E-03
nephron tubule formation (GO:0072079)	17	12	2.70	+	4.44	2.31E-04	5.22E-03
regulation of nephron tubule epithelial cell differentiation (GO:0072182)	13	9	2.07	+	4.36	1.55E-03	2.66E-02
mesodermal cell fate commitment (GO:0001710)	13	9	2.07	+	4.36	1.55E-03	2.66E-02
telencephalon regionalization (GO:0021978)	12	8	1.91	+	4.20	3.35E-03	4.84E-02
forebrain regionalization (GO:0021871)	23	15	3.65	+	4.10	7.48E-05	1.93E-03
positive regulation of voltage-gated potassium channel activity (GO:1903818)	17	11	2.70	+	4.07	7.13E-04	1.39E-02
renal vesicle development (GO:0072087)	14	9	2.22	+	4.05	2.24E-03	3.55E-02
GABAergic neuron differentiation (GO:0097154)	14	9	2.22	+	4.05	2.24E-03	3.54E-02
detoxification of inorganic compound (GO:0061687)	19	12	3.02	+	3.98	4.82E-04	9.94E-03
middle ear morphogenesis (GO:0042474)	19	12	3.02	+	3.98	4.82E-04	9.93E-03
